"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 24, 2014","318.11","317.80","318.51","316.73","-","0.09%"
"Apr 23, 2014","317.82","318.46","318.76","317.71","-","-0.19%"
"Apr 22, 2014","318.42","316.72","318.84","316.58","-","0.51%"
"Apr 21, 2014","316.81","316.37","316.81","316.02","-","0.09%"
"Apr 18, 2014","316.54","316.28","316.54","316.21","-","0.07%"
"Apr 17, 2014","316.31","315.23","316.55","315.22","-","0.36%"
"Apr 16, 2014","315.17","311.82","315.23","311.76","-","1.04%"
"Apr 15, 2014","311.94","311.89","312.75","309.50","-","0.00%"
"Apr 14, 2014","311.94","311.08","312.45","309.79","-","0.21%"
"Apr 11, 2014","311.29","314.55","314.58","311.11","-","-1.05%"
"Apr 10, 2014","314.58","317.88","318.73","314.35","-","-0.95%"
"Apr 09, 2014","317.59","315.54","317.93","315.20","-","0.66%"
"Apr 08, 2014","315.50","314.59","315.83","313.74","-","0.30%"
"Apr 07, 2014","314.56","317.54","317.58","314.18","-","-0.92%"
"Apr 04, 2014","317.48","318.95","320.47","317.37","-","-0.47%"
"Apr 03, 2014","318.97","319.54","319.83","318.34","-","-0.20%"
"Apr 02, 2014","319.61","318.78","319.70","318.75","-","0.25%"
"Apr 01, 2014","318.80","316.70","318.80","316.53","-","0.62%"
"Mar 31, 2014","316.84","314.33","317.01","314.33","-","0.81%"
"Mar 28, 2014","314.29","312.63","315.29","312.51","-","0.55%"
"Mar 27, 2014","312.57","312.67","313.20","311.65","-","0.00%"
"Mar 26, 2014","312.57","312.86","315.02","312.68","-","0.00%"
